MWE,Regex,Quantity
Fazer feio,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) feio,104
Fazer frente,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) frente,1351
Fazer furor,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) furor,12
Fazer gênero,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) gênero,8
Fazer número,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) número,106
Fazer jogo duplo,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) jogo duplo,16
Fazer o jogo de __,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) o jogo de,73
Fazer onda,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) onda,64
Fazer o jogo do contente,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) o jogo do contente,6
Fazer ouvidos moucos,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) ouvidos moucos,12
Fazer ouvidos de mercador,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) ouvidos de mercador,8
Fazer pouco de __,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) pouco de,67
Fazer pender a balança,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) pen(dar|dou|dá|dás|dá|dão|damos|dais|dão|dava|davas|dávamos|dáveis|davam|dei|deste|deu|demos|destes|deram|dera|deras|déramos|déreis|deram|darei|darás|dará|daremos|dareis|darão|daria|darias|daríamos|daríeis|dariam|desse|desses|dêssemos|dêsseis|dessem|dar|dares|darmos|dardes|darem|dá|dê|demos|dai|dêem) a balança,0
Fazer sombra,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) sombra,129
Fazer propaganda de ___,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) propaganda de ___,0
Fazer seu nome,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) seu nome,50
Fazer suas necessidades,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) suas necessidades,120
Fazer uma corrente,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) uma corrente,44
Fazer tábua rasa,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) tábua rasa,17
Fazer tempestade em copo d’água,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) tempestade em copo d’água,0
Fazer uma chupeta,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) uma chupeta,2
Fazer uma limpeza,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) uma limpeza,208
Fazer uma ponte,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) uma ponte,125
Fazer uma salada,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) uma salada,46
Fazer vista grossa,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos) vista grossa,215
Fazer-se de morto,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos)-se de morto,1
Fazer-se de rogado,(fazer|faço|faz|fazendo|feito|fazia|farei|faça|fiz|fizeram|faremos|fizemos|farás|faremos|faríamos|façam|faria|farão|faziam|fizeste|fazeríeis|fizestes|fazias|fazíamos|faríamos|fazerás|fazíeis|fazeis|faria|fazes|fizeste|façais|fizerem|feito|fazeram|feita|feitas|feitos)-se de rogado,0
Fechar a boca,(fecho|fechas|fecha|fechamos|fechais|fecham|feche|feches|fechemos|fecheis|fechem|fechava|fechavas|fechávamos|fecháveis|fechavam|fechei|fechaste|fechou|fechastes|fecharam|fecharei|fecharás|fechará|fecharemos|fechareis|fecharão|fecharia|fecharias|fecharíamos|fechariam|fechasse|fechasses|fechássemos|fechásseis|fechassem|fechar|fechares|fecharmos|fechardes|fecharem|fechando) a boca,190
Fechar a cara,(fecho|fechas|fecha|fechamos|fechais|fecham|feche|feches|fechemos|fecheis|fechem|fechava|fechavas|fechávamos|fecháveis|fechavam|fechei|fechaste|fechou|fechastes|fecharam|fecharei|fecharás|fechará|fecharemos|fechareis|fecharão|fecharia|fecharias|fecharíamos|fechariam|fechasse|fechasses|fechássemos|fechásseis|fechassem|fechar|fechares|fecharmos|fechardes|fecharem|fechando) a cara,67
Fechar as portas,(fecho|fechas|fecha|fechamos|fechais|fecham|feche|feches|fechemos|fecheis|fechem|fechava|fechavas|fechávamos|fecháveis|fechavam|fechei|fechaste|fechou|fechastes|fecharam|fecharei|fecharás|fechará|fecharemos|fechareis|fecharão|fecharia|fecharias|fecharíamos|fechariam|fechasse|fechasses|fechássemos|fechásseis|fechassem|fechar|fechares|fecharmos|fechardes|fecharem|fechando) as portas,1426
Fechar o parêntese,(fecho|fechas|fecha|fechamos|fechais|fecham|feche|feches|fechemos|fecheis|fechem|fechava|fechavas|fechávamos|fecháveis|fechavam|fechei|fechaste|fechou|fechastes|fecharam|fecharei|fecharás|fechará|fecharemos|fechareis|fecharão|fecharia|fecharias|fecharíamos|fechariam|fechasse|fechasses|fechássemos|fechásseis|fechassem|fechar|fechares|fecharmos|fechardes|fecharem|fechando) o parêntese,4
Fechar os olhos,(fecho|fechas|fecha|fechamos|fechais|fecham|feche|feches|fechemos|fecheis|fechem|fechava|fechavas|fechávamos|fecháveis|fechavam|fechei|fechaste|fechou|fechastes|fecharam|fecharei|fecharás|fechará|fecharemos|fechareis|fecharão|fecharia|fecharias|fecharíamos|fechariam|fechasse|fechasses|fechássemos|fechásseis|fechassem|fechar|fechares|fecharmos|fechardes|fecharem|fechando) os olhos,2261
Ficar com cara de tacho,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) com cara de tacho,4
Fechar-se em copas,(fecho|fechas|fecha|fechamos|fechais|fecham|feche|feches|fechemos|fecheis|fechem|fechava|fechavas|fechávamos|fecháveis|fechavam|fechei|fechaste|fechou|fechastes|fecharam|fecharei|fecharás|fechará|fecharemos|fechareis|fecharão|fecharia|fecharias|fecharíamos|fechariam|fechasse|fechasses|fechássemos|fechásseis|fechassem|fechar|fechares|fecharmos|fechardes|fecharem|fechando)-se em copas,5
Ficar branco de medo,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) branco de medo,0
Ficar com a pulga atrás da orelha,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) com a pulga atrás da orelha,10
Ficar de cara feia,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) de cara feia,4
Ficar com dedos,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) com dedos,1
Ficar de cabelos brancos,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) de cabelos brancos,1
Ficar de cara amarrada,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) de cara amarrada,1
Ficar de cara fechada,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) de cara fechada,2
Ficar de fora,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) de fora,2833
Ficar de cara virada,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) de cara virada,0
Ficar de olho,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) de olho,2770
Ficar de orelha em pé,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) de orelha em pé,1
Ficar em segundo plano,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) em segundo plano,308
Ficar elas por elas,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) elas por elas,2
Ficar para trás,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) para trás,2320
Ficar entalado na garganta,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) entalado na garganta,7
Ficar para as calendas gregas,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) para as calendas gregas,9
Ficar para o dia de São Nunca,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) para o dia de [Ss]ão [Nn]unca,0
Ficar plantado,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) plantado,12
Ficar por baixo,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) por baixo,60
Ficar por cima,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) por cima,128
Forçar a barra,(forço|forças|força|forçamos|forçais|forçam|force|forces|forcemos|forceis|forcem|forçava|forçavas|forçávamos|forçáveis|forçavam|forcei|forçaste|forçou|forçastes|forçaram|forçarei|forçarás|forçará|forçaremos|forçareis|forçarão|forçaria|forçarias|forçaríamos|forçariam|forçasse|forçasses|forçássemos|forçásseis|forçassem|forçar|forçares|forçarmos|forçardes|forçarem|forçando) a barra,412
Ficar pra titia,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) pra titia,9
Ficar todo cheio de si,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) todo cheio de si,1
Ficar uma pilha de nervos,(ficar|fico|ficas|fica|ficamos|ficais|ficam|fiquei|ficaste|ficou|ficamos|ficastes|ficaram|ficaria|ficarias|ficaria|ficaríamos|ficaríeis|ficariam|ficava|ficavas|ficava|ficávamos|ficáveis|ficavam|ficara|ficaras|ficara|ficáramos|ficáreis|ficaram|ficarei|ficarás|ficará|ficaremos|ficareis|ficarão|ficando|ficado|fique|fiques|fique|fiquemos|fiqueis|fiquem) uma pilha de nervos,3
Fugir da raia,(fugir|fuja|fujas|fuja|fujamos|fujais|fujam|fugia|fugias|fugia|fugíamos|fugíeis|fugiam|fugi|fugiste|fugiu|fugimos|fugistes|fugiram|fugira|fugiras|fugira|fugíramos|fugíreis|fugiram|fugirei|fugirás|fugirá|fugiremos|fugireis|fugirão|fugiria|fugirias|fugiria|fugiríamos|fugiríeis|fugiriam|fugisse|fugisses|fugisse|fugíssemos|fugísseis|fugissem|fugir|fugires|fugir|fugirmos|fugirdes|fugirem) da raia,9
Ganhar a vida,(ganhar|ganhe|ganhes|ganhe|ganhemos|ganheis|ganhem|ganhava|ganhavas|ganhava|ganhávamos|ganháveis|ganhavam|ganhei|ganhaste|ganhou|ganhamos|ganhastes|ganharam|ganhara|ganharas|ganhara|ganháramos|ganháreis|ganharam|ganharei|ganharás|ganhará|ganharemos|ganhareis|ganharão|ganharia|ganharias|ganharia|ganharíamos|ganharíeis|ganhariam|ganhasse|ganhasses|ganhasse|ganhássemos|ganhásseis|ganhassem|ganhar|ganhares|ganhar|ganharmos|ganhardes|ganharem) a vida,937
Fundir a cuca,(fundir|funda|fundas|funda|fundamos|fundais|fundam|fundia|fundias|fundia|fundíamos|fundíeis|fundiam|fundi|fundiste|fundiu|fundimos|fundistes|fundiram|fundira|fundiras|fundira|fundíramos|fundíreis|fundiram|fundirei|fundirás|fundirá|fundiremos|fundireis|fundirão|fundiria|fundirias|fundiria|fundiríamos|fundiríeis|fundiriam|fundisse|fundisses|fundisse|fundíssemos|fundísseis|fundissem|fundir|fundires|fundir|fundirmos|fundirdes|fundirem) a cuca,2
Ganhar o pão (de cada dia),(ganhar|ganhe|ganhes|ganhe|ganhemos|ganheis|ganhem|ganhava|ganhavas|ganhava|ganhávamos|ganháveis|ganhavam|ganhei|ganhaste|ganhou|ganhamos|ganhastes|ganharam|ganhara|ganharas|ganhara|ganháramos|ganháreis|ganharam|ganharei|ganharás|ganhará|ganharemos|ganhareis|ganharão|ganharia|ganharias|ganharia|ganharíamos|ganharíeis|ganhariam|ganhasse|ganhasses|ganhasse|ganhássemos|ganhásseis|ganhassem|ganhar|ganhares|ganhar|ganharmos|ganhardes|ganharem) o pão (de cada dia),13
Ganhar terreno,(ganhar|ganhe|ganhes|ganhe|ganhemos|ganheis|ganhem|ganhava|ganhavas|ganhava|ganhávamos|ganháveis|ganhavam|ganhei|ganhaste|ganhou|ganhamos|ganhastes|ganharam|ganhara|ganharas|ganhara|ganháramos|ganháreis|ganharam|ganharei|ganharás|ganhará|ganharemos|ganhareis|ganharão|ganharia|ganharias|ganharia|ganharíamos|ganharíeis|ganhariam|ganhasse|ganhasses|ganhasse|ganhássemos|ganhásseis|ganhassem|ganhar|ganhares|ganhar|ganharmos|ganhardes|ganharem) terreno,194
Ir a pique,(ir|vou|vais|vai|vamos|vais|vão|irei|irás|irá|iremos|irão|iria|irias|iria|iríamos|iriam|ia|ias|ia|íamos|iam|fui|foste|foi|fomos|foram|fora|foras|fora|fôramos|foram|sou|és|é|somos|são|era|eras|era|éramos|eram|serei|serás|será|seremos|serão|seria|serias|seria|seríamos|seriam|seja|sejas|seja|sejamos|sejais|sejam|indo|ido|ida|idos|idas) a pique,90
